frame,status,prediction,global_conf,n_individuals,paths
198,ok,9,0.5551467537879944,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0198/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0198/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0198/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0198/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0198/stage_05_classification.png""}"
209,ok,9,0.5763999819755554,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0209/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0209/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0209/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0209/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0209/stage_05_classification.png""}"
215,ok,9,0.5882033705711365,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0215/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0215/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0215/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0215/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0215/stage_05_classification.png""}"
222,ok,9,0.5682784914970398,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0222/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0222/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0222/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0222/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0222/stage_05_classification.png""}"
230,ok,9,0.5569366216659546,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0230/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0230/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0230/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0230/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0230/stage_05_classification.png""}"
245,ok,9,0.5298870205879211,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0245/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0245/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0245/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0245/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0245/stage_05_classification.png""}"
251,ok,9,0.5299108028411865,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0251/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0251/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0251/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0251/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0251/stage_05_classification.png""}"
266,ok,9,0.5370604991912842,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0266/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0266/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0266/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0266/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0266/stage_05_classification.png""}"
271,ok,9,0.5272701382637024,1,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0271/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0271/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0271/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0271/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0271/stage_05_classification.png""}"
288,ok,5409,0.603026270866394,4,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0288/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0288/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0288/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0288/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0288/stage_05_classification.png""}"
297,ok,5409,0.6032252907752991,4,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0297/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0297/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0297/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0297/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0297/stage_05_classification.png""}"
306,ok,5409,0.5991541147232056,4,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0306/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0306/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0306/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0306/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0306/stage_05_classification.png""}"
319,ok,5409,0.591499388217926,4,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0319/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0319/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0319/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0319/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0319/stage_05_classification.png""}"
327,ok,5409,0.5891873836517334,4,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0327/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0327/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0327/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0327/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0327/stage_05_classification.png""}"
335,ok,54102,0.6119316816329956,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0335/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0335/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0335/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0335/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0335/stage_05_classification.png""}"
347,ok,54102,0.6120016574859619,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0347/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0347/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0347/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0347/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0347/stage_05_classification.png""}"
357,ok,86199,0.3043110966682434,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0357/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0357/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0357/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0357/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0357/stage_05_classification.png""}"
364,ok,69999,0.2613997757434845,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0364/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0364/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0364/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0364/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0364/stage_05_classification.png""}"
370,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0370/stage_01_raw.png""}"
383,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0383/stage_01_raw.png""}"
398,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0398/stage_01_raw.png""}"
406,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0406/stage_01_raw.png""}"
416,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0416/stage_01_raw.png""}"
420,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0420/stage_01_raw.png""}"
435,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0435/stage_01_raw.png""}"
441,ok,89191,0.34881457686424255,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0441/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0441/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0441/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0441/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0441/stage_05_classification.png""}"
455,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0455/stage_01_raw.png""}"
461,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0461/stage_01_raw.png""}"
470,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0470/stage_01_raw.png""}"
486,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0486/stage_01_raw.png""}"
495,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0495/stage_01_raw.png""}"
504,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0504/stage_01_raw.png""}"
512,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0512/stage_01_raw.png""}"
527,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0527/stage_01_raw.png""}"
539,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0539/stage_01_raw.png""}"
542,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0542/stage_01_raw.png""}"
555,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0555/stage_01_raw.png""}"
568,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0568/stage_01_raw.png""}"
576,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0576/stage_01_raw.png""}"
587,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0587/stage_01_raw.png""}"
590,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0590/stage_01_raw.png""}"
602,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0602/stage_01_raw.png""}"
611,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0611/stage_01_raw.png""}"
620,ok,99999,0.26095521450042725,5,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0620/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0620/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0620/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0620/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0620/stage_05_classification.png""}"
635,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0635/stage_01_raw.png""}"
648,ok,990,0.26822522282600403,3,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0648/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0648/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0648/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0648/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0648/stage_05_classification.png""}"
652,ok,990,0.37912270426750183,3,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0652/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0652/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0652/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0652/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0652/stage_05_classification.png""}"
662,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0662/stage_01_raw.png""}"
677,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0677/stage_01_raw.png""}"
689,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0689/stage_01_raw.png""}"
699,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0699/stage_01_raw.png""}"
702,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0702/stage_01_raw.png""}"
712,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0712/stage_01_raw.png""}"
728,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0728/stage_01_raw.png""}"
739,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0739/stage_01_raw.png""}"
744,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0744/stage_01_raw.png""}"
750,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0750/stage_01_raw.png""}"
768,ok,990,0.2823544442653656,3,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0768/stage_01_raw.png"", ""stage_02_globalbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0768/stage_02_globalbb.png"", ""stage_03_sharpened"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0768/stage_03_sharpened.png"", ""stage_04_individualbb"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0768/stage_04_individualbb.png"", ""stage_05_classification"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0768/stage_05_classification.png""}"
779,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0779/stage_01_raw.png""}"
783,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0783/stage_01_raw.png""}"
793,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0793/stage_01_raw.png""}"
802,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0802/stage_01_raw.png""}"
818,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0818/stage_01_raw.png""}"
822,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0822/stage_01_raw.png""}"
839,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0839/stage_01_raw.png""}"
844,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0844/stage_01_raw.png""}"
855,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0855/stage_01_raw.png""}"
865,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0865/stage_01_raw.png""}"
874,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0874/stage_01_raw.png""}"
881,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0881/stage_01_raw.png""}"
896,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0896/stage_01_raw.png""}"
900,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0900/stage_01_raw.png""}"
911,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0911/stage_01_raw.png""}"
928,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0928/stage_01_raw.png""}"
934,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0934/stage_01_raw.png""}"
949,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0949/stage_01_raw.png""}"
958,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0958/stage_01_raw.png""}"
966,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0966/stage_01_raw.png""}"
976,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0976/stage_01_raw.png""}"
983,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0983/stage_01_raw.png""}"
993,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0993/stage_01_raw.png""}"
1004,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1004/stage_01_raw.png""}"
1010,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1010/stage_01_raw.png""}"
1023,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1023/stage_01_raw.png""}"
1036,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1036/stage_01_raw.png""}"
1044,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1044/stage_01_raw.png""}"
1056,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_1056/stage_01_raw.png""}"
